City,State,Population
Sanford city, Florida,"61,077"
Union City city, New Jersey,"68,634"
Pflugerville city, Texas,"65,179"
Albany city, Georgia,"69,653"
Malden city, Massachusetts,"66,274"
Port Orange city, Florida,"62,621"
Yorba Linda city, California,"68,319"
Sammamish city, Washington,"67,458"
Janesville city, Wisconsin,"65,633"
Brentwood city, California,"64,291"
Shoreline city, Washington,"58,609"
Union City city, California,"70,145"
Victoria city, Texas,"65,535"
Palatine village, Illinois,"67,890"
Skokie village, Illinois,"67,824"
Waltham city, Massachusetts,"65,206"
Kyle city, Texas,"45,683"
Lorain city, Ohio,"65,218"
Cheyenne city, Wyoming,"65,187"
Parker town, Colorado,"58,495"
Muncie city, Indiana,"65,202"
Burnsville city, Minnesota,"64,324"
Bellevue city, Nebraska,"65,042"
South San Francisco city, California,"66,095"
Kenner city, Louisiana,"66,457"
North Little Rock city, Arkansas,"64,609"
Richland city, Washington,"60,575"
Millcreek city, Utah,"63,892"
Laguna Niguel city, California,"64,346"
Madison city, Alabama,"56,976"
Chapel Hill town, North Carolina,"62,264"
Hamilton city, Ohio,"63,393"
Hendersonville city, Tennessee,"61,786"
Moore city, Oklahoma,"62,808"
Coon Rapids city, Minnesota,"63,636"
Utica city, New York,"65,288"
Lynwood city, California,"67,238"
Porterville city, California,"62,983"
Palm Beach Gardens city, Florida,"59,176"
Wellington village, Florida,"61,609"
Bossier City city, Louisiana,"62,720"
Marietta city, Georgia,"61,055"
Westfield city, Indiana,"46,446"
Jupiter town, Florida,"61,098"
Woodland city, California,"61,045"
Wylie city, Texas,"57,516"
Eden Prairie city, Minnesota,"64,198"
Apopka city, Florida,"54,910"
Lakewood city, Washington,"63,608"
Council Bluffs city, Iowa,"62,781"
San Clemente city, California,"64,285"
Santa Cruz city, California,"64,230"
White Plains city, New York,"59,558"
Pontiac city, Michigan,"61,602"
Marana town, Arizona,"51,906"
Herriman city, Utah,"55,175"
North Miami city, Florida,"60,182"
Bristol city, Connecticut,"60,861"
Vineland city, New Jersey,"60,782"
Corvallis city, Oregon,"59,918"
Taunton city, Massachusetts,"59,350"
Bentonville city, Arkansas,"54,216"
Taylor city, Michigan,"63,390"
St. Peters city, Missouri,"57,729"
La Habra city, California,"63,123"
Burlington city, North Carolina,"57,369"
Blue Springs city, Missouri,"58,749"
Little Elm city, Texas,"46,468"
Springfield city, Oregon,"61,875"
Encinitas city, California,"62,001"
Dearborn Heights city, Michigan,"63,287"
